"Income","Race","Sex","Birth.Country"
170653,"White","Male","Italy"
259323,"White","Male","United-States"
254817,"White","Female","United-States"
48211,"White","Female","United-States"
140164,"White","Female","United-States"
128757,"Black","Male","United-States"
36270,"White","Male","United-States"
210563,"White","Female","United-States"
65368,"White","Female","United-States"
160943,"Black","Male","United-States"
208358,"White","Male","United-States"
153790,"Amer-Indian-Eskimo","Female","United-States"
85815,"Asian-Pac-Islander","Male","United-States"
125417,"White","Male","United-States"
635913,"Black","Male","United-States"
313321,"White","Female","United-States"
182609,"White","Male","Poland"
109434,"White","Male","United-States"
255004,"White","Male","United-States"
197860,"White","Male","United-States"
187656,"White","Male","United-States"
51744,"Black","Male","United-States"
176681,"Black","Male","United-States"
140359,"White","Female","United-States"
243313,"White","Female","United-States"
24215,"Amer-Indian-Eskimo","Female","United-States"
167687,"White","Male","United-States"
314209,"White","Female","Columbia"
176796,"White","Female","United-States"
538583,"Black","Male","United-States"
130408,"Black","Female","United-States"
159732,"White","Male","United-States"
110978,"Other","Female","United-States"
76714,"White","Male","United-States"
268700,"White","Male","United-States"
170525,"White","Female","United-States"
180138,"White","Male","Iran"
115076,"White","Male","United-States"
115458,"White","Male","United-States"
347890,"White","Male","United-States"
196001,"White","Female","United-States"
273905,"White","Male","United-States"
119156,"White","Male","United-States"
179488,"White","Male","United-States"
203580,"White","Male",""
236596,"White","Male","United-States"
183916,"White","Female","United-States"
207578,"White","Male","United-States"
153141,"White","Male",""
112763,"White","Female","United-States"
390781,"Black","Female","United-States"
171328,"Black","Female","United-States"
27382,"White","Male","United-States"
259014,"White","Male","United-States"
303044,"Asian-Pac-Islander","Male","Cambodia"
117789,"White","Female","United-States"
172579,"White","Female","United-States"
187666,"White","Female","United-States"
204518,"White","Male","United-States"
150042,"White","Female","United-States"
98092,"White","Male","United-States"
245918,"White","Male","United-States"
146013,"White","Male","United-States"
378322,"White","Male","United-States"
257295,"Asian-Pac-Islander","Male","Thailand"
218956,"White","Male","Canada"
21174,"White","Male","United-States"
185480,"White","Female","United-States"
222205,"White","Female","United-States"
69867,"White","Male","United-States"
191260,"White","Male","United-States"
30653,"White","Male","United-States"
209109,"White","Male","United-States"
70377,"White","Female","United-States"
477983,"Black","Male","United-States"
170924,"White","Male","United-States"
190174,"White","Female","United-States"
193787,"White","Female","United-States"
279472,"White","Female","United-States"
34918,"White","Female","Germany"
97688,"White","Male","United-States"
175413,"Black","Female","United-States"
173960,"White","Female","United-States"
205759,"White","Male","United-States"
425161,"White","Male","United-States"
220531,"White","Male","United-States"
176609,"White","Male","United-States"
371987,"White","Female","United-States"
193884,"White","Male","Ecuador"
200352,"White","Male","United-States"
127595,"White","Female","United-States"
220419,"White","Male","United-States"
231931,"White","Male","United-States"
248402,"Black","Female","United-States"
111095,"White","Male","United-States"
57424,"White","Female","United-States"
157443,"Asian-Pac-Islander","Female",""
278130,"White","Male","United-States"
169469,"White","Male","United-States"
146268,"White","Male","United-States"
153718,"Asian-Pac-Islander","Female","United-States"
217460,"White","Male","United-States"
238638,"White","Male","United-States"
303296,"Asian-Pac-Islander","Female","Laos"
173321,"White","Female","United-States"
193945,"White","Male","United-States"
83082,"White","Female","United-States"
193815,"White","Male","United-States"
34987,"White","Male","United-States"
59306,"White","Male","United-States"
142897,"Asian-Pac-Islander","Male","Taiwan"
860348,"Black","Female","United-States"
205607,"Black","Female","United-States"
199698,"White","Male","United-States"
191954,"White","Male","United-States"
138714,"White","Male","United-States"
399087,"White","Female","Mexico"
423158,"White","Female","United-States"
159841,"White","Female","United-States"
174308,"White","Male","United-States"
50356,"White","Male","United-States"
186110,"White","Male","United-States"
200381,"White","Female","United-States"
174309,"White","Male","United-States"
78383,"White","Male","United-States"
211601,"Black","Female","United-States"
187728,"White","Female","United-States"
321171,"White","Male","United-States"
127921,"White","Male","United-States"
206565,"Black","Male","United-States"
224563,"White","Male","United-States"
178686,"White","Male","United-States"
98545,"White","Male","United-States"
242606,"White","Male","United-States"
270942,"White","Male","Mexico"
94235,"White","Male","United-States"
71195,"White","Male","United-States"
104112,"Black","Male","Haiti"
261192,"Black","Male","United-States"
94936,"White","Male","United-States"
296478,"White","Male","United-States"
119272,"White","Male","United-States"
85043,"White","Male","United-States"
293364,"Black","Female","United-States"
241895,"White","Male","United-States"
36135,"White","Male","United-States"
151989,"White","Female","United-States"
101128,"White","Male","Iran"
156464,"White","Male","United-States"
117963,"White","Male","United-States"
192262,"White","Male","United-States"
111363,"White","Male","United-States"
329752,"White","Male","United-States"
372020,"White","Male","United-States"
95432,"White","Male","United-States"
161400,"Other","Male","United-States"
96129,"White","Male","United-States"
111949,"White","Female","United-States"
117125,"White","Male","Portugal"
348022,"White","Female","United-States"
270092,"White","Male","United-States"
180609,"White","Male","United-States"
174575,"White","Male","United-States"
410439,"White","Male","United-States"
92262,"White","Male","United-States"
183081,"White","Male","United-States"
362589,"White","Female","United-States"
212448,"White","Female","United-States"
481060,"White","Female","United-States"
185885,"White","Female","United-States"
89821,"White","Male","United-States"
184018,"White","Male","United-States"
256649,"Black","Male","United-States"
160323,"Black","Male","United-States"
350845,"White","Female","United-States"
267404,"White","Female","United-States"
35633,"White","Male","United-States"
80914,"White","Male","United-States"
172927,"White","Male","United-States"
174319,"White","Male","United-States"
214955,"White","Female","United-States"
344991,"White","Male","United-States"
108699,"White","Female","United-States"
117312,"White","Female","United-States"
396099,"White","Female","United-States"
134152,"White","Male","United-States"
162028,"White","Female","United-States"
25429,"White","Female","United-States"
232392,"White","Female","United-States"
220098,"White","Female","United-States"
301302,"White","Male","United-States"
277946,"White","Male","United-States"
98101,"White","Male",""
196164,"White","Female","United-States"
115562,"White","Male","United-States"
96975,"White","Female","United-States"
137300,"White","Female","United-States"
86872,"White","Male","United-States"
132178,"White","Male","United-States"
416103,"White","Male","United-States"
108574,"White","Female","United-States"
288353,"White","Male","United-States"
227689,"White","Female","United-States"
166481,"Other","Male","Puerto-Rico"
445382,"White","Male","United-States"
110145,"White","Male","United-States"
317253,"White","Male","United-States"
123147,"White","Female","United-States"
364657,"White","Male","United-States"
42346,"Black","Female","United-States"
241951,"Black","Female","United-States"
118500,"White","Female","United-States"
188386,"White","Male","United-States"
1033222,"White","Male","United-States"
92440,"White","Male","United-States"
190762,"White","Male","Mexico"
426017,"White","Female","United-States"
243867,"Black","Male","United-States"
240283,"White","Female","United-States"
61777,"White","Male","United-States"
175024,"White","Male","United-States"
92003,"White","Female","United-States"
188401,"White","Male","United-States"
228528,"White","Female","United-States"
133373,"White","Male","United-States"
255191,"White","Male","United-States"
204653,"White","Male","Dominican-Republic"
222289,"White","Male","United-States"
287480,"White","Male","United-States"
107762,"White","Male","United-States"
202521,"White","Male","United-States"
204116,"White","Female","United-States"
29662,"White","Female","United-States"
116358,"Asian-Pac-Islander","Male","Philippines"
208405,"White","Male","United-States"
284843,"Black","Male","United-States"
117018,"White","Female","United-States"
81281,"White","Male","United-States"
340148,"White","Female","United-States"
363425,"White","Male","United-States"
45857,"White","Female","United-States"
191073,"White","Male","United-States"
116632,"White","Male","United-States"
405855,"White","Male","Mexico"
298227,"White","Male","United-States"
290521,"Black","Female","United-States"
56915,"Amer-Indian-Eskimo","Male","United-States"
146538,"White","Male","United-States"
258872,"White","Female","United-States"
206399,"Black","Female","United-States"
197332,"White","Male","United-States"
245062,"White","Male","United-States"
197583,"Black","Male",""
234885,"White","Female","United-States"
72887,"Asian-Pac-Islander","Male","United-States"
180374,"White","Female","United-States"
351299,"Black","Male","United-States"
54012,"White","Male","United-States"
115745,"White","Male","United-States"
116632,"White","Male","United-States"
288825,"Black","Male","United-States"
132601,"White","Male","United-States"
193374,"White","Male","United-States"
170070,"White","Female","United-States"
126708,"White","Female","United-States"
35598,"White","Male","United-States"
33983,"White","Male","United-States"
192776,"White","Male","United-States"
118551,"White","Female","United-States"
201965,"White","Male","United-States"
139883,"White","Male","United-States"
285020,"White","Male","United-States"
303990,"White","Male","United-States"
49401,"White","Female","United-States"
279196,"White","Female","United-States"
211870,"White","Male","United-States"
281432,"White","Male","United-States"
161155,"White","Male","United-States"
197904,"White","Female","United-States"
111746,"White","Male","Portugal"
170721,"White","Male","United-States"
70100,"White","Male","United-States"
193626,"White","Female","United-States"
271749,"Black","Male","United-States"
189775,"Black","Female","United-States"
401531,"White","Male","United-States"
286967,"White","Male","United-States"
164427,"White","Female","United-States"
91039,"White","Male","United-States"
347934,"White","Female","United-States"
371373,"White","Male","United-States"
32220,"White","Female","United-States"
187251,"White","Female","United-States"
178107,"White","Male","United-States"
343121,"White","Female","United-States"
262749,"White","Male","United-States"
403107,"White","Male","El-Salvador"
64293,"White","Female","United-States"
303588,"White","Male","United-States"
324960,"White","Male","Poland"
114060,"White","Male","United-States"
48925,"White","Male","United-States"
180980,"White","Female","France"
181054,"White","Female","United-States"
388093,"Black","Male","United-States"
249609,"White","Male","United-States"
112131,"White","Male","United-States"
543162,"Black","Female","United-States"
91996,"White","Female","United-States"
141944,"White","Male","United-States"
251804,"Black","Female","United-States"
37070,"White","Male","United-States"
337587,"White","Male","United-States"
189346,"White","Male","United-States"
222216,"White","Female","United-States"
267044,"Amer-Indian-Eskimo","Female","United-States"
214635,"White","Male","United-States"
204226,"White","Female","United-States"
108116,"White","Male","United-States"
99146,"White","Male","United-States"
196232,"White","Male","United-States"
248344,"Black","Male","United-States"
186035,"White","Male","United-States"
177905,"White","Male","United-States"
85812,"White","Female","United-States"
221172,"White","Male","United-States"
99183,"White","Female","United-States"
190387,"White","Male","United-States"
202692,"White","Male","United-States"
109339,"Other","Female","Puerto-Rico"
108658,"White","Male","United-States"
197202,"Black","Male","United-States"
101739,"White","Female","United-States"
231559,"White","Male","United-States"
207853,"White","Male","United-States"
190942,"Black","Female","United-States"
102345,"White","Male","United-States"
41493,"White","Female","United-States"
190027,"Black","Female","United-States"
210525,"White","Male","United-States"
133937,"White","Male","United-States"
237903,"White","Female","United-States"
163862,"White","Male","United-States"
201872,"White","Male","United-States"
84179,"White","Female","United-States"
51662,"White","Female","United-States"
233327,"White","Male","United-States"
259510,"White","Male","United-States"
184831,"White","Male","United-States"
245724,"White","Male","United-States"
27053,"White","Female","United-States"
205343,"White","Female","United-States"
229328,"Black","Female","United-States"
319560,"Black","Female","United-States"
136218,"White","Female","United-States"
54576,"White","Male","United-States"
323069,"White","Female",""
148291,"White","Female","United-States"
152453,"White","Male","Mexico"
114053,"White","Male","United-States"
212960,"White","Male","United-States"
264052,"White","Male","United-States"
82804,"Black","Female","United-States"
334273,"White","Male","United-States"
27337,"Amer-Indian-Eskimo","Male","United-States"
188436,"White","Male","United-States"
433665,"White","Female","Mexico"
110663,"White","Male","United-States"
87490,"White","Male","United-States"
354351,"White","Male","United-States"
95469,"White","Male","United-States"
242718,"White","Male","United-States"
22463,"White","Male","United-States"
158156,"White","Female","United-States"
350162,"White","Male","United-States"
165532,"White","Male","United-States"
28738,"White","Female","United-States"
283635,"White","Female","United-States"
86646,"White","Male","United-States"
195733,"White","Male","United-States"
69884,"White","Male","United-States"
199713,"White","Male","United-States"
181659,"White","Male","United-States"
340939,"White","Male","United-States"
197747,"White","Female","United-States"
34292,"White","Male","United-States"
156764,"White","Male","United-States"
25826,"White","Male","United-States"
103948,"White","Male","United-States"
137390,"White","Male","United-States"
105138,"Asian-Pac-Islander","Female","United-States"
39352,"White","Male","United-States"
168387,"White","Male","Canada"
117789,"White","Female","United-States"
267147,"White","Male","United-States"
99399,"Amer-Indian-Eskimo","Female","United-States"
214242,"White","Male","United-States"
200408,"White","Male","United-States"
136455,"White","Female","United-States"
239824,"White","Male","United-States"
217039,"White","Male","United-States"
51290,"White","Female","United-States"
175674,"White","Male","United-States"
194404,"White","Male","United-States"
45612,"Black","Female","United-States"
410114,"White","Male","United-States"
182521,"Amer-Indian-Eskimo","Male","United-States"
339772,"Black","Male","United-States"
169658,"White","Female","United-States"
200853,"White","Female","United-States"
247564,"White","Male","United-States"
249909,"White","Male","United-States"
208122,"White","Male","United-States"
109881,"White","Female","United-States"
207824,"White","Male","United-States"
369027,"Black","Male","United-States"
114117,"White","Male","United-States"
51048,"White","Male","United-States"
102388,"White","Male","United-States"
190483,"White","Female","United-States"
462440,"Black","Female","United-States"
109351,"Black","Female","United-States"
34383,"White","Male","United-States"
241832,"White","Male","El-Salvador"
124187,"Black","Male","United-States"
153614,"White","Male","United-States"
267556,"White","Male","United-States"
205469,"White","Male","United-States"
268090,"White","Male","United-States"
165039,"Black","Female","United-States"
120451,"Black","Female","United-States"
154374,"White","Male","United-States"
103649,"Black","Female","United-States"
35723,"White","Male","United-States"
262601,"White","Female","United-States"
226181,"White","Male","United-States"
175697,"White","Male","United-States"
248145,"White","Male","Cuba"
289436,"White","Male","United-States"
75654,"White","Male","United-States"
199378,"White","Male","United-States"
160968,"White","Male","United-States"
188563,"White","Male","United-States"
55849,"White","Male","United-States"
195322,"White","Male","United-States"
402089,"White","Female","United-States"
78277,"White","Male","United-States"
158611,"White","Male","United-States"
169496,"White","Male","United-States"
130959,"White","Male","United-States"
556660,"White","Male","United-States"
292472,"Asian-Pac-Islander","Male","Taiwan"
143774,"White","Female","United-States"
288341,"White","Female","United-States"
71592,"Asian-Pac-Islander","Female","Philippines"
167358,"White","Female","United-States"
106742,"White","Male","United-States"
219288,"White","Male","United-States"
174524,"White","Male","United-States"
335183,"Black","Male","United-States"
261293,"White","Male","United-States"
111900,"White","Male","United-States"
194360,"White","Male","United-States"
81145,"White","Female","United-States"
341204,"White","Female","United-States"
249362,"White","Male","United-States"
247019,"Black","Male","United-States"
114746,"Asian-Pac-Islander","Female","South"
172146,"White","Male","United-States"
110457,"White","Male","United-States"
80077,"White","Female","United-States"
368700,"White","Male","United-States"
182556,"White","Male","United-States"
219420,"White","Male","United-States"
240817,"White","Female","United-States"
102726,"White","Male","United-States"
226267,"White","Male","Mexico"
125457,"White","Male","United-States"
204021,"White","Male","United-States"
92262,"White","Male","United-States"
161141,"White","Male","Portugal"
190290,"White","Male","United-States"
430828,"Black","Male","United-States"
59342,"White","Female","United-States"
136721,"White","Female","United-States"
149422,"White","Male","United-States"
86644,"White","Female","United-States"
195124,"White","Male","Dominican-Republic"
167350,"White","Male","United-States"
113000,"White","Male","United-States"
140027,"Black","Female","United-States"
262425,"White","Male","United-States"
316702,"White","Male","United-States"
335453,"White","Female","United-States"
202480,"White","Male","United-States"
203628,"White","Male","United-States"
118710,"White","Male","United-States"
189620,"White","Female","Poland"
475028,"White","Female","United-States"
110866,"White","Male","United-States"
243605,"White","Female","Cuba"
163870,"White","Male","United-States"
80145,"White","Male","United-States"
295566,"White","Female","United-States"
63042,"White","Female","United-States"
229148,"Black","Male","Jamaica"
242552,"Black","Male","United-States"
177665,"White","Male","United-States"
208103,"White","Male","United-States"
296450,"White","Male","United-States"
70282,"Black","Female","United-States"
271767,"White","Male",""
144995,"White","Male","United-States"
382635,"White","Female","Honduras"
295697,"Black","Female","United-States"
194141,"White","Male","United-States"
378418,"White","Female","United-States"
214399,"White","Female","United-States"
217460,"White","Male","United-States"
182556,"White","Male","United-States"
125831,"White","Male","United-States"
271328,"White","Male","United-States"
50459,"White","Male","United-States"
162140,"White","Male","United-States"
177937,"White","Male",""
111502,"White","Female","United-States"
299047,"White","Female","United-States"
223212,"White","Male","Mexico"
118474,"White","Male",""
352139,"White","Female","United-States"
173093,"Asian-Pac-Islander","Female","United-States"
181655,"White","Male","United-States"
332702,"White","Female","United-States"
51164,"Black","Female","United-States"
234901,"White","Male","United-States"
131414,"Black","Female","United-States"
260960,"White","Male","United-States"
156052,"Black","Female","United-States"
279914,"White","Male","United-States"
192453,"White","Female","United-States"
200939,"White","Male","United-States"
151408,"White","Female","United-States"
112847,"White","Male","United-States"
316929,"White","Male","United-States"
126319,"White","Female","United-States"
197422,"White","Male","United-States"
267736,"Black","Female","United-States"
267034,"Black","Male","Haiti"
193047,"White","Male","United-States"
356089,"White","Male","United-States"
223515,"White","Male","United-States"
87510,"White","Male","United-States"
145111,"White","Male","United-States"
48093,"White","Male","United-States"
31757,"White","Male","United-States"
285854,"White","Male","United-States"
120064,"White","Female","United-States"
167381,"White","Female","United-States"
103408,"Black","Male","United-States"
101460,"White","Female","United-States"
420537,"White","Female","United-States"
119411,"White","Male","Portugal"
128272,"White","Male","United-States"
386773,"White","Male","United-States"
283268,"White","Female","United-States"
301526,"White","Male","United-States"
151790,"White","Female","Germany"
106252,"White","Female","United-States"
188557,"White","Male","United-States"
171114,"White","Female","United-States"
327323,"White","Male","Guatemala"
244147,"White","Male","United-States"
280282,"White","Female","United-States"
116442,"White","Male","United-States"
282579,"White","Male","United-States"
51838,"White","Female","United-States"
73585,"White","Male",""
226902,"White","Male","United-States"
279129,"White","Male","United-States"
146908,"White","Male",""
196690,"White","Female","United-States"
130760,"White","Male","United-States"
49572,"White","Male","United-States"
237601,"Other","Female","United-States"
169628,"Black","Female","United-States"
36671,"White","Male","United-States"
231193,"White","Male","United-States"
192130,"White","Male","United-States"
149704,"White","Female","United-States"
102102,"White","Male","United-States"
32185,"White","Male","United-States"
196061,"White","Male","United-States"
211046,"White","Female","United-States"
31577,"White","Male","United-States"
162343,"Black","Male","United-States"
128831,"White","Male","United-States"
316688,"Black","Male","United-States"
90758,"White","Male","United-States"
274363,"White","Male","England"
154538,"White","Male","United-States"
106085,"Black","Male","United-States"
315859,"White","Male","United-States"
51471,"White","Female","United-States"
193830,"White","Female","United-States"
231043,"White","Male","United-States"
23780,"White","Male","United-States"
169879,"White","Male","United-States"
270333,"White","Male","United-States"
138768,"White","Male","United-States"
191571,"White","Female","United-States"
219941,"Black","Male","United-States"
94113,"White","Male","United-States"
137510,"White","Male","United-States"
32607,"White","Male","United-States"
93208,"White","Female","Italy"
254440,"White","Female","United-States"
186556,"White","Male","United-States"
169871,"White","Male","United-States"
191277,"White","Male","United-States"
167159,"White","Male","United-States"
171871,"White","Female","United-States"
154411,"White","Male","United-States"
129227,"White","Female","United-States"
110331,"White","Male","United-States"
34269,"White","Male","United-States"
174355,"White","Female","United-States"
680390,"White","Female","United-States"
233130,"White","Male","United-States"
165474,"White","Male","United-States"
257780,"White","Male","United-States"
194259,"White","Female","United-States"
280093,"White","Male","United-States"
177387,"White","Male","United-States"
28929,"White","Female","United-States"
105304,"White","Male","United-States"
499233,"White","Male","United-States"
180572,"White","Female","United-States"
321435,"White","Male","United-States"
86108,"White","Male","United-States"
198124,"White","Male","United-States"
135162,"White","Male","United-States"
146813,"White","Male","United-States"
291175,"White","Female","United-States"
387569,"White","Male","United-States"
102895,"White","Male","United-States"
33274,"White","Female","United-States"
86551,"White","Male","United-States"
138192,"White","Male","United-States"
118966,"White","Male","United-States"
99784,"White","Female","United-States"
90980,"White","Female","United-States"
177407,"White","Male","United-States"
96467,"White","Female","United-States"
327886,"White","Male","United-States"
111567,"White","Male","United-States"
166545,"White","Female","United-States"
142182,"White","Male","United-States"
188798,"White","Female","United-States"
38563,"White","Female","United-States"
216284,"White","Female","United-States"
191547,"White","Male","Mexico"
285335,"White","Male","United-States"
142712,"White","Male","United-States"
80945,"White","Male","United-States"
309055,"White","Female","United-States"
62339,"White","Male","United-States"
368700,"White","Male","United-States"
176186,"White","Male","United-States"
266855,"White","Male","United-States"
48087,"White","Male","United-States"
121313,"White","Male","United-States"
143437,"White","Male","United-States"
160724,"Asian-Pac-Islander","Male","China"
282753,"Black","Male","United-States"
194636,"White","Male","United-States"
153044,"Black","Female","United-States"
411797,"White","Female","United-States"
117683,"White","Male","United-States"
376540,"White","Female","United-States"
72393,"White","Female","United-States"
270335,"White","Male","Philippines"
96226,"White","Male","United-States"
95336,"White","Male","United-States"
258498,"White","Female","United-States"
149698,"White","Male","United-States"
205865,"White","Male","United-States"
155781,"White","Male",""
406468,"Black","Male","United-States"
177119,"White","Female","United-States"
144397,"Black","Female","United-States"
372525,"White","Male","United-States"
164170,"Asian-Pac-Islander","Female","India"
183800,"White","Male","United-States"
177307,"White","Male","United-States"
170108,"White","Male","United-States"
341995,"White","Male","United-States"
226508,"White","Female","United-States"
87418,"White","Male","United-States"
109165,"White","Male","United-States"
28856,"White","Male","United-States"
175897,"White","Male","United-States"
99697,"White","Female","United-States"
90270,"Amer-Indian-Eskimo","Male","United-States"
152375,"White","Male","United-States"
171550,"White","Female","United-States"
211154,"White","Male","United-States"
202570,"Black","Male","United-States"
168496,"White","Male","United-States"
68898,"White","Male","United-States"
93235,"White","Male","United-States"
278924,"White","Male","United-States"
311020,"White","Male","United-States"
175878,"White","Male","United-States"
543028,"Black","Male","United-States"
202027,"White","Male","United-States"
158926,"Asian-Pac-Islander","Female","South"
76860,"Asian-Pac-Islander","Male","United-States"
136063,"White","Male","United-States"
186648,"White","Male","United-States"
257509,"White","Male","United-States"
98155,"White","Male","United-States"
274198,"White","Female","Mexico"
97083,"Black","Female","United-States"
29825,"White","Male","United-States"
262153,"White","Male","United-States"
214738,"White","Male","United-States"
138022,"White","Male","United-States"
91842,"White","Female","United-States"
373662,"White","Female","Guatemala"
162003,"White","Male","United-States"
52114,"White","Female","United-States"
241843,"White","Male","United-States"
375871,"White","Female","Mexico"
186934,"White","Male","United-States"
176900,"White","Male","United-States"
21906,"White","Female","United-States"
132222,"White","Male","United-States"
143653,"White","Male","United-States"
111567,"White","Male","United-States"
78602,"Amer-Indian-Eskimo","Female","United-States"
465507,"Black","Male","United-States"
196373,"White","Male","United-States"
293227,"White","Female","United-States"
241752,"White","Male","United-States"
166398,"Black","Female","United-States"
184682,"White","Female","United-States"
108293,"White","Female","United-States"
250802,"White","Male","United-States"
325159,"White","Male","United-States"
174675,"White","Female","United-States"
227065,"White","Male","United-States"
269080,"Black","Female","United-States"
177722,"White","Female","United-States"
133461,"White","Male","United-States"
239683,"White","Male",""
398473,"White","Male","United-States"
298785,"White","Male","United-States"
123424,"White","Male","United-States"
176286,"White","Male","United-States"
