Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
Acadia National Park,Mammal,Carnivora,Odobenidae,Odobenus rosmarus,Walrus,Approved,Not Confirmed,Not Native,,,
Acadia National Park,Mammal,Carnivora,Phocidae,Halichoerus grypus,Gray Seal,Approved,Not Confirmed,Native,,,
Acadia National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Approved,Not Confirmed,Native,,,
Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon",Approved,Present,Native,Common,,
Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear,Approved,Present,Native,Occasional,,
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Approved,Present,Native,Uncommon,,Species of Concern
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat,Approved,Present,Native,Unknown,,Species of Concern
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Approved,Present,Native,Occasional,Migratory,
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Approved,Present,Native,Unknown,,
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis leibii,"Eastern Small-Footed Myotis, Small-Footed Myotis",Approved,Not Present (Historical Report),Native,,,Species of Concern
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Approved,Not Present (False Report),Not Native,,,
Acadia National Park,Mammal,Lagomorpha,Leporidae,Lepus americanus,"Snowshoe Hare, Varying Hare",Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Castoridae,Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Approved,Present,Not Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Cricetidae,Clethrionomys gapperi,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Cricetidae,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Approved,Not Present (Historical Report),Native,,Breeder,
Acadia National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Approved,Not Present (Historical Report),Native,,,
Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,White-Footed Mouse,Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Mammal,Rodentia,Cricetidae,Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Approved,Present,Native,Rare,Breeder,
Acadia National Park,Mammal,Rodentia,Dipodidae,Napaeozapus insignis,Woodland Jumping Mouse,Approved,Present,Native,Rare,Breeder,
Acadia National Park,Mammal,Rodentia,Dipodidae,Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,"Hedgehog, Porcupine",Approved,Present,Not Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Muridae,Mus musculus,House Mouse,Approved,Not Present (Historical Report),Not Native,,,
Acadia National Park,Mammal,Rodentia,Muridae,Rattus norvegicus,"Brown Rat, Norway Rat",Approved,Not Confirmed,Not Native,,,
Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys,Glaucomys Sp.,In Review,Not Confirmed,Not Native,,,
Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys volans,Southern Flying Squirrel,Approved,Not Confirmed,Not Native,,,
Acadia National Park,Mammal,Rodentia,Sciuridae,Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",Approved,Present,Not Native,Common,Breeder,
Acadia National Park,Mammal,Rodentia,Sciuridae,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Approved,Present,Not Native,Common,,
Acadia National Park,Mammal,Rodentia,Sciuridae,Tamias striatus,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,"Chickaree, Red Squirrel",Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Soricomorpha,Soricidae,Blarina brevicauda,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex cinereus,Masked Shrew,Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex fumeus,"Northern Smoky Shrew, Smoky Shrew",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Approved,Present,Native,Common,,
Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex palustris,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Mammal,Soricomorpha,Talpidae,Condylura cristata,Star-Nosed Mole,Approved,Present,Native,Common,Breeder,
Acadia National Park,Mammal,Soricomorpha,Talpidae,Parascalops breweri,"Brewer's Mole, Hairy-Tailed Mole",Approved,Not Confirmed,Native,,,
Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Uncommon,,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Approved,Present,Native,Common,Breeder,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Approved,Present,Native,Occasional,Vagrant,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo jamaicensis,"Eastern Red-Tailed Hawk, Red-Tailed Hawk",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lagopus,"American Rough-Legged Hawk, Rough-Legged Hawk",Approved,Present,Native,Uncommon,Resident,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lineatus,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk",Approved,Present,Native,Occasional,Migratory,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,Approved,Not Confirmed,Unknown,,,
Acadia National Park,Bird,Accipitriformes,Accipitridae,Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Approved,Present,Native,Uncommon,Breeder,Species of Concern
Acadia National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery
Acadia National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Approved,Present,Native,Common,,Species of Concern
Acadia National Park,Bird,Anseriformes,Anatidae,Aix sponsa,Wood Duck,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas acuta,"American Pintail, Northern Pintail, Pintail",Approved,Present,Native,Rare,Migratory,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas americana,"American Wigeon, Baldpate",Approved,Present,Native,Uncommon,Migratory,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas clypeata,"Northern Shoveler, Shoveller",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas platyrhynchos,"Common Mallard, Mallard",Approved,Present,Unknown,Common,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck",Approved,Present,Native,Abundant,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Anas strepera,Gadwall,Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose",Approved,Present,Unknown,Occasional,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Approved,Not Confirmed,Unknown,,Migratory,Species of Concern
Acadia National Park,Bird,Anseriformes,Anatidae,Aythya americana,Redhead,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Aythya marila,"Greater Scaup, Greater Scaup Duck",Approved,Present,Native,Common,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Aythya valisineria,Canvasback,Approved,Present,Not Native,Occasional,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Branta bernicla,"American Brant, Brant",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Anseriformes,Anatidae,Branta canadensis,"Canada Goose, Eastern Canada Goose",Approved,Present,Unknown,Common,,
Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala albeola,"Bufflehead, Buffle-Head",Approved,Present,Native,Abundant,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala clangula,"American Golden-Eye, Common Goldeneye",Approved,Present,Native,Common,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,Approved,Not Confirmed,Unknown,,,
Acadia National Park,Bird,Anseriformes,Anatidae,Camptorhynchus labradorius,Labrador Duck,Approved,Not Confirmed,Native,,,
Acadia National Park,Bird,Anseriformes,Anatidae,Chen caerulescens,"Blue Goose, Snow Goose",Approved,Present,Native,Occasional,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Clangula hyemalis,"Long-Tailed Duck, Old Squaw, Oldsquaw",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Cygnus columbianus,"Tundra Swan, Whistling Swan",Approved,Not Confirmed,Unknown,,Vagrant,
Acadia National Park,Bird,Anseriformes,Anatidae,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Approved,Present,Native,Common,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta fusca,"Eastern White-Winged Scoter, White-Winged Coot, White-Winged Scoter",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta nigra,"American Common Scoter, American Scoter, Black Scoter, Butter-Bill, Common Scoter",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Mergus merganser,"American Merganser, Common Merganser",Approved,Present,Native,Uncommon,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Anseriformes,Anatidae,Oxyura jamaicensis,"Northern Ruddy Duck, Ruddy Duck",Approved,Not Confirmed,Unknown,,Migratory,
Acadia National Park,Bird,Anseriformes,Anatidae,Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider",Approved,Present,Native,Abundant,Resident,
Acadia National Park,Bird,Anseriformes,Anatidae,Somateria spectabilis,King Eider,Approved,Not Confirmed,Unknown,,Vagrant,
Acadia National Park,Bird,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,Approved,Present,Native,Common,,
Acadia National Park,Bird,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,Approved,Present,Native,Common,,
Acadia National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus carolinensis,Chuck-Will's-Widow,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles minor,"Common Nighthawk, Eastern Nighthawk",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Charadriiformes,Alcidae,Alca torda,"Northern Razor-Billed Auk, Razorbill",Approved,Not Confirmed,Unknown,,,
Acadia National Park,Bird,Charadriiformes,Alcidae,Alle alle,"Common Dovekie, Dovekie",Approved,Not Confirmed,Unknown,,,
Acadia National Park,Bird,Charadriiformes,Alcidae,Cepphus grylle,"Black Guillemot, Sea Pigeon, Southern Black Guillemot",Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,Approved,Not Confirmed,Unknown,,Resident,Species of Concern
Acadia National Park,Bird,Charadriiformes,Alcidae,Pinguinus impennis,Great Auk,Approved,Not Present (Historical Report),Native,,,
Acadia National Park,Bird,Charadriiformes,Alcidae,Uria aalge,"Atlantic Murre, Common Murre",Approved,Not Present (Historical Report),Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Alcidae,Uria lomvia,"Brunnich's Murre, Brunnich's Thick-Billed Murre, Thick-Billed Murre",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius melodus,"Eastern Piping Plover, Piping Plover",Approved,Not Confirmed,Native,,Migratory,Threatened
Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer",Approved,Present,Native,Common,,
Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis dominica,"American Golden Plover, American Golden-Plover, Eastern American Golden Plover",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,Approved,Present,Native,Common,Migratory,
Acadia National Park,Bird,Charadriiformes,Haematopodidae,Haematopus palliatus,"American Oystercatcher, Eastern American Oystercatcher",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Charadriiformes,Laridae,Chlidonias niger,"American Black Tern, Black Tern",Approved,Not Confirmed,Native,,Migratory,Species of Concern
Acadia National Park,Bird,Charadriiformes,Laridae,Larus argentatus,"American Herring Gull, Herring Gull",Approved,Present,Native,Abundant,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Common,Resident,Species of Concern
Acadia National Park,Bird,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,Approved,Present,Native,Common,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus fuscus,Lesser Black-Backed Gull,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus glaucoides,"Eastern Iceland Gull, Iceland Gull",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus hyperboreus,"Eastern Glaucous Gull, Glaucous Gull",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus marinus,Great Black-Backed Gull,Approved,Present,Native,Abundant,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus minutus,Little Gull,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus philadelphia,Bonaparte's Gull,Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus pipixcan,Franklin's Gull,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Larus ridibundus,"Black-Headed Gull, Western Black-Headed Gull",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Pagophila eburnea,Ivory Gull,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Rissa tridactyla,"Atlantic Kittiwake, Black-Legged Kittiwake",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Rynchops niger,"Black Skimmer, Northern Black Skimmer",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna antillarum,"Eastern Least Tern, Least Tern",Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna caspia,Caspian Tern,Approved,Not Confirmed,Not Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna fuscata,"Eastern Sooty Tern, Sooty Tern",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern",Approved,Present,Native,Common,Resident,Species of Concern
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna maxima,Royal Tern,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Laridae,Sterna paradisaea,Arctic Tern,Approved,Not Confirmed,Native,,Resident,
Acadia National Park,Bird,Charadriiformes,Laridae,Xema sabini,"Northern Sabine's Gull, Sabine's Gull",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Recurvirostridae,Recurvirostra americana,"American Avocet, Avocet",Approved,Present,Not Native,Unknown,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Actitis macularia,Spotted Sandpiper,Approved,Present,Native,Common,,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,Approved,Present,Native,Common,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Approved,Present,Native,Rare,Migratory,Species of Concern
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris alpina,"Dunlin, Red-Backed Dunlin, Red-Backed Sandpiper",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris bairdii,Baird's Sandpiper,Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris canutus,"American Knot, Knot, Red Knot",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris fuscicollis,White-Rumped Sandpiper,Approved,Present,Native,Uncommon,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris himantopus,Stilt Sandpiper,Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris maritima,Purple Sandpiper,Approved,Present,Native,Common,Resident,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris mauri,Western Sandpiper,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris melanotos,Pectoral Sandpiper,Approved,Present,Native,Rare,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper,Approved,Present,Native,Common,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris pusilla,Semipalmated Sandpiper,Approved,Present,Native,Abundant,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,"Eastern Willet, Willet",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Gallinago gallinago,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe",Approved,Present,Native,Rare,,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus griseus,"Eastern Dowitcher, Short-Billed Dowitcher",Approved,Present,Native,Abundant,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,Long-Billed Dowitcher,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limosa haemastica,Hudsonian Godwit,Approved,Not Present (Historical Report),Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Numenius americanus,"Long-Billed Curlew, Southern Long-Billed Curlew",Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Numenius borealis,Eskimo Curlew,Approved,Not Confirmed,Native,,Migratory,Endangered
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Numenius phaeopus,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel",Approved,Present,Native,Rare,Migratory,Species of Concern
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus fulicaria,Red Phalarope,Approved,Not Present (Historical Report),Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus lobatus,"Northern Phalarope, Red-Necked Phalarope",Approved,Not Confirmed,Native,,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus tricolor,Wilson's Phalarope,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Scolopax minor,American Woodcock,Approved,Present,Native,Common,Breeder,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa flavipes,"Lesser Yellowlegs, Lesser Yellow-Legs",Approved,Present,Native,Uncommon,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa melanoleuca,"Greater Yellowlegs, Greater Yellow-Legs",Approved,Present,Native,Common,Migratory,
Acadia National Park,Bird,Charadriiformes,Scolopacidae,Tringa solitaria,"Eastern Solitary Sandpiper, Solitary Sandpiper",Approved,Present,Native,Common,Migratory,
Acadia National Park,Bird,Charadriiformes,Stercorariidae,Catharacta skua,Great Skua,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius longicaudus,Long-Tailed Jaeger,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius parasiticus,Parasitic Jaeger,Approved,Not Confirmed,Not Native,,Vagrant,
Acadia National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius pomarinus,Pomarine Jaeger,Approved,Not Present (False Report),Not Native,,Vagrant,
Acadia National Park,Bird,Columbiformes,Columbidae,Columba livia,"Domestic Pigeon, Feral Pigeon, Pigeon, Rock Dove",Approved,Not Confirmed,Not Native,,,
Acadia National Park,Bird,Columbiformes,Columbidae,Ectopistes migratorius,Passenger Pigeon,Approved,Not Confirmed,Native,,,
Acadia National Park,Bird,Columbiformes,Columbidae,Zenaida macroura,"Eastern Mourning Dove, Mourning Dove",Approved,Present,Native,Common,Breeder,
