"X1","X2","Y","Ypred"
3.088591672,-1.490726489,"NO","YES"
-2.422407777,0.755913636,"NO","NO"
0.283827586,9.16429161,"NO","NO"
-0.429917856,-6.203222382,"YES","YES"
4.769615472,2.18415278,"YES","NO"
0.160283612,-0.671734342,"NO","YES"
-8.190288138,2.423223698,"YES","NO"
1.188045564,-7.195335264,"YES","YES"
0.571882607,-1.349613661,"NO","YES"
3.076456363,5.13755927,"NO","NO"
-4.232120846,5.055828949,"NO","NO"
5.626892026,2.244563388,"YES","NO"
-2.077560989,0.954824931,"NO","NO"
-1.408049646,-6.295731603,"YES","YES"
-4.290632299,1.159735708,"NO","NO"
-3.024999619,-2.405486008,"YES","YES"
1.112074385,3.138125842,"NO","NO"
5.180552199,-5.679244362,"YES","YES"
-4.269318986,7.570730115,"NO","NO"
2.007720998,-10.28310548,"YES","YES"
3.384365193,1.667005895,"NO","NO"
-2.969591402,-7.123995688,"YES","YES"
-4.474980501,7.353835701,"NO","NO"
1.796404218,-1.236606494,"NO","YES"
-1.644977466,-0.651426181,"NO","YES"
5.892753152,4.251315904,"YES","NO"
2.545809483,-9.022989048,"YES","YES"
1.106093455,4.241280456,"NO","NO"
-1.834175501,-2.984552995,"NO","YES"
1.135398379,-3.572536036,"NO","YES"
4.968794296,3.288502548,"YES","NO"
-1.83213271,-2.16792426,"YES","YES"
-6.423965706,0.6631286,"YES","NO"
-1.158036686,-3.32623167,"YES","YES"
-2.625281179,2.164817598,"NO","NO"
-3.053412598,2.419068874,"NO","NO"
5.238355745,3.160300264,"YES","NO"
0.233837136,5.577700277,"NO","NO"
5.15850864,-6.895586997,"YES","YES"
-0.864835378,-0.063389141,"NO","NO"
0.83330912,-5.235011898,"YES","YES"
-0.331153551,-8.695151533,"YES","YES"
6.442353874,-2.82368477,"YES","YES"
-2.598840655,2.164534824,"NO","NO"
1.213635182,-6.19653154,"NO","YES"
-1.718818303,-6.555984519,"YES","YES"
5.39265181,-0.77936616,"YES","NO"
0.617613977,6.853350674,"NO","NO"
-5.18605056,-0.303030091,"YES","YES"
-2.6483112,-2.184774202,"NO","YES"
3.174388853,6.095279247,"NO","NO"
-2.304484506,-4.56544812,"YES","YES"
-1.941159284,-5.604370088,"YES","YES"
1.414877999,-2.143301641,"NO","YES"
-3.430767247,7.359082498,"NO","NO"
-4.426028679,-0.843420955,"YES","YES"
-2.164480305,5.842158457,"NO","NO"
-4.344379467,-8.265067162,"YES","YES"
-2.409495233,2.638176811,"NO","NO"
3.012284947,5.249864187,"NO","NO"
0.603097007,5.386050751,"NO","NO"
-6.834387768,-0.43507859,"YES","YES"
-5.118041691,6.177469199,"NO","NO"
0.577330468,2.853742304,"NO","NO"
-1.329733247,-2.520872354,"YES","YES"
4.08767456,-0.573833955,"YES","NO"
-2.801453121,-2.037017075,"YES","YES"
-1.490206191,1.255181875,"NO","NO"
-4.089584315,7.66374585,"NO","NO"
-4.061191709,7.442158437,"NO","NO"
3.517859068,-2.693018311,"YES","YES"
-2.616380351,-1.357664434,"NO","YES"
-4.997061431,3.18272547,"YES","NO"
-1.562066164,-10.07637031,"YES","YES"
1.336392296,-4.031778954,"YES","YES"
-4.112953754,2.977125393,"NO","NO"
3.868066774,-4.221859487,"NO","YES"
-2.292863389,-0.843518406,"YES","YES"
-6.288628779,0.063107002,"YES","YES"
-1.898132096,5.35485479,"NO","NO"
-3.490074328,-5.673516106,"YES","YES"
-1.005056317,3.091928893,"NO","NO"
6.415805612,-5.717881661,"YES","YES"
0.179393494,1.23046319,"NO","NO"
-3.090391645,-7.508788847,"YES","YES"
2.611336054,5.271510011,"NO","NO"
-2.259615212,0.013734858,"NO","NO"
2.06461196,5.952331974,"NO","NO"
0.703482154,-5.636968989,"YES","YES"
0.190171274,9.149234918,"NO","NO"
5.545840425,2.917961603,"YES","NO"
-1.403546579,-2.763020353,"NO","YES"
-1.421671064,-10.29811521,"YES","YES"
3.674051474,-7.643671889,"YES","YES"
0.614534414,-1.550250681,"NO","YES"
0.365813573,-3.329199723,"NO","YES"
-4.80055256,-1.295564571,"YES","YES"
-1.672860068,5.068002555,"NO","NO"
-2.680236613,-7.4079681,"YES","YES"
-2.367090272,-0.175165048,"NO","YES"
-4.914470673,-1.373444436,"NO","YES"
-5.308545768,-0.978491108,"YES","YES"
3.825013974,-2.353712923,"YES","YES"
2.268433074,-2.519832799,"NO","YES"
2.05902338,-7.288120911,"YES","YES"
-3.837243284,0.523391442,"NO","NO"
5.95930906,1.665064054,"YES","NO"
-2.720780763,0.234878117,"NO","NO"
3.05670683,-4.159198675,"NO","YES"
5.15383915,3.844257684,"YES","NO"
0.623600695,-4.677869333,"YES","YES"
0.939014643,-2.027240133,"NO","YES"
3.888132921,-0.641613892,"NO","NO"
2.740340596,6.395481845,"NO","NO"
-3.363576685,6.204996006,"NO","NO"
-0.57583765,-2.070536458,"YES","YES"
3.465415989,-1.435724805,"NO","YES"
2.609866563,5.52607191,"NO","NO"
-2.151841678,-5.806623218,"YES","YES"
3.459661021,-5.938598297,"YES","YES"
6.985678803,3.942253575,"YES","NO"
-1.260268661,-6.674774094,"YES","YES"
-3.729503207,2.759592551,"NO","NO"
2.474983007,7.660376976,"NO","NO"
0.20321269,-9.75880508,"YES","YES"
-2.973293743,-2.830317371,"YES","YES"
0.193549845,4.013974343,"NO","NO"
-1.072308628,-5.587485365,"YES","YES"
5.625071875,3.162594163,"YES","NO"
-2.775555647,-2.440095222,"NO","YES"
0.414943162,-7.238415231,"YES","YES"
2.197469237,-7.741780154,"YES","YES"
-1.884544318,-7.745766219,"YES","YES"
4.981005948,-1.767988224,"YES","YES"
3.095850889,-8.310949308,"YES","YES"
-0.921122007,8.177390828,"NO","NO"
5.684858642,-3.037086598,"YES","YES"
2.16667663,-5.095199744,"YES","YES"
5.728038307,0.603369131,"YES","NO"
4.332879771,-5.35570832,"YES","YES"
-0.039245086,7.229056409,"NO","NO"
-1.870478058,-4.883462855,"NO","YES"
0.851650685,3.261035852,"NO","NO"
-5.806167885,3.928219566,"YES","NO"
2.953602433,4.523982197,"NO","NO"
-3.728009767,-4.15873296,"YES","YES"
0.208930275,9.822468591,"NO","NO"
4.119769572,-7.320396571,"YES","YES"
3.908213383,0.614812254,"YES","NO"
2.712735433,3.94513952,"NO","NO"
-2.602845528,-7.755684565,"YES","YES"
-2.879594746,1.864105612,"NO","NO"
-4.200252055,1.009253892,"YES","NO"
5.582094457,-4.390922726,"YES","YES"
-4.185185545,-7.434011004,"YES","YES"
4.756413714,0.456771473,"YES","NO"
2.85085133,-8.53800937,"YES","YES"
-3.407825427,4.693341949,"NO","NO"
-4.968824275,-1.889520122,"YES","YES"
-5.745086049,0.273399555,"YES","YES"
-1.26538682,1.95924672,"NO","NO"
-0.788670044,-1.376055072,"NO","YES"
-3.083327497,-7.032970343,"YES","YES"
1.181388969,-3.031626373,"NO","YES"
-1.915041615,-3.465828374,"YES","YES"
3.526016153,3.725739018,"YES","NO"
-0.910095635,-7.7616681,"YES","YES"
1.009075454,-3.71090619,"NO","YES"
-2.679267036,5.632940062,"NO","NO"
-0.463512226,8.896489674,"NO","NO"
-1.430032031,1.33779067,"NO","NO"
0.183069295,-7.331125228,"YES","YES"
3.864569384,0.862170094,"YES","NO"
3.456881203,2.0750189,"YES","NO"
-1.013064715,7.227964277,"NO","NO"
2.153631018,-8.015508173,"YES","YES"
-4.091975767,7.566390162,"NO","NO"
3.726980398,4.450499003,"NO","NO"
4.937419937,-0.330992029,"YES","NO"
-3.554986281,6.071676033,"NO","NO"
5.086331015,-5.280140916,"YES","YES"
-0.966515851,-1.268802256,"NO","YES"
-0.100433222,8.154168645,"NO","NO"
3.037767553,-8.03003687,"YES","YES"
3.887591209,-7.635927675,"YES","YES"
1.049444443,2.723978562,"NO","NO"
-0.18678479,4.831541211,"NO","NO"
-2.692734777,2.990083577,"NO","NO"
-2.446029518,-9.401900031,"YES","YES"
-2.29488933,-2.782368004,"YES","YES"
-5.129011456,-0.931587721,"NO","YES"
2.719336346,6.015458087,"NO","NO"
-0.872016679,-5.309969832,"NO","YES"
-3.139076396,-2.136546687,"YES","YES"
-3.099532226,2.297411941,"NO","NO"
2.914735117,-8.380987795,"YES","YES"
3.858515984,4.781660797,"NO","NO"
-4.448496678,2.643196309,"NO","NO"
-4.857486163,5.2959838,"NO","NO"
4.464908112,0.389681828,"YES","NO"
0.13842167,-3.464058525,"NO","YES"
-1.152343144,4.516473343,"NO","NO"
-2.26124805,-2.646190187,"NO","YES"
2.554271102,-5.058743332,"YES","YES"
2.770240994,0.226838457,"NO","NO"
-4.817688434,-2.196258496,"YES","YES"
0.716307033,6.39848827,"NO","NO"
3.577045281,-3.805850509,"YES","YES"
3.612708173,-1.035093273,"YES","YES"
1.822799836,5.612686507,"NO","NO"
-2.214017086,2.102229919,"NO","NO"
2.086524387,5.647359416,"NO","NO"
-3.907310255,0.701749019,"YES","NO"
3.190631807,-6.929162646,"YES","YES"
1.553988929,5.676058436,"NO","NO"
-4.91782538,-3.496619298,"YES","YES"
4.122617753,-7.148471062,"YES","YES"
-2.645146092,-3.135310011,"NO","YES"
-3.899765949,2.077344425,"NO","NO"
-3.533008901,-1.021167577,"YES","YES"
-4.272967397,4.203633619,"NO","NO"
1.465009227,-8.763275151,"YES","YES"
-2.867065961,0.066106681,"NO","NO"
-2.184094492,-3.268135752,"YES","YES"
-1.796575802,-5.871774051,"YES","YES"
0.015705338,-0.334119464,"NO","NO"
-5.982679222,-0.356040993,"YES","YES"
-3.342696563,-1.728007464,"YES","YES"
-1.419115104,-4.427911773,"YES","YES"
1.954305166,5.254091385,"NO","NO"
-3.277793203,-3.144721418,"YES","YES"
0.838272805,2.603925701,"NO","NO"
-3.487102935,-2.694062957,"YES","YES"
-2.814681205,-2.605697112,"YES","YES"
1.698489491,-3.684296613,"YES","YES"
-0.112725338,-2.903858418,"NO","YES"
-5.008039282,5.063298159,"NO","NO"
-1.29458883,-7.389330945,"YES","YES"
0.662590815,-1.906347532,"NO","YES"
-1.395055685,-2.348524324,"NO","YES"
-3.859056931,-0.897885809,"NO","YES"
-3.319560788,4.487419169,"NO","NO"
4.768975769,-8.176697642,"YES","YES"
1.620470671,-0.774399133,"NO","YES"
-4.46675779,-1.533353215,"YES","YES"
2.242366802,5.853094688,"NO","NO"
5.806605991,-1.770836861,"YES","YES"
3.619819617,-3.300925444,"NO","YES"
0.822000213,-4.584418124,"YES","YES"
-1.241769564,-8.596903527,"YES","YES"
-0.352093802,-8.590237336,"YES","YES"
1.802738433,1.692670875,"NO","NO"
-0.191902628,2.867508871,"NO","NO"
2.654226588,-7.93849026,"YES","YES"
6.046034733,-2.181372223,"YES","YES"
-2.279572601,4.080101631,"NO","NO"
1.888045769,-5.289812749,"NO","YES"
-7.018695734,4.537552054,"YES","NO"
1.612782733,-9.57924857,"YES","YES"
2.248247648,6.501680386,"NO","NO"
0.049689307,-0.137022648,"NO","NO"
-3.181034499,1.049558577,"NO","NO"
-0.99848167,7.09997255,"NO","NO"
-0.661156961,-9.790195555,"YES","YES"
-6.339412807,6.5664732,"NO","NO"
-3.882862882,1.076845217,"NO","NO"
6.358234921,-2.333237456,"YES","YES"
-2.928126402,-2.896645322,"YES","YES"
2.2589086,-3.557418219,"NO","YES"
4.13977609,-6.691299399,"YES","YES"
1.042172712,-3.424205126,"NO","YES"
-0.510130891,-10.93612428,"YES","YES"
-2.959211715,-0.516565823,"NO","YES"
-2.495005595,6.865492663,"NO","NO"
-2.353642123,-3.403237562,"NO","YES"
5.160501062,0.583088782,"YES","NO"
2.095504312,0.344085292,"YES","NO"
-5.08477345,5.962690463,"NO","NO"
0.982099161,2.511646904,"NO","NO"
2.379184789,2.522591245,"NO","NO"
3.05805999,5.228276464,"NO","NO"
-1.997999724,3.627705538,"NO","NO"
-4.577721711,2.383181862,"YES","NO"
-3.428132155,-7.374697592,"YES","YES"
3.800499808,-6.330117628,"YES","YES"
-1.130969312,0.330088906,"NO","NO"
4.207021851,-2.926316082,"YES","YES"
-2.510028044,2.088000825,"NO","NO"
-4.024049902,2.129851377,"NO","NO"
-4.480847764,7.840984631,"NO","NO"
0.063317102,-0.340944072,"NO","NO"
2.130632106,-5.554612238,"YES","YES"
-6.403601988,-6.195261137,"YES","YES"
-1.377948286,-1.202991901,"NO","YES"
-4.25176754,7.742504371,"NO","NO"
-1.752238711,1.323046053,"NO","NO"
-0.357774255,-8.660213451,"YES","YES"
-0.255794396,-3.568362271,"NO","YES"
1.792355137,-3.736515588,"YES","YES"
5.445973778,1.539183027,"YES","NO"
3.198878588,-1.909510213,"NO","YES"
1.064114348,8.533515619,"NO","NO"
-5.723809248,3.850235767,"YES","NO"
-5.185843961,2.985656137,"NO","NO"
-1.019946072,-0.417009282,"NO","YES"
4.225477819,-1.394804917,"YES","YES"
3.532863555,-7.702403249,"YES","YES"
-2.204433427,-8.949047818,"YES","YES"
-7.286091795,4.587987021,"YES","NO"
-0.480890343,8.213999994,"NO","NO"
2.88643995,0.922149507,"YES","NO"
-1.637468811,-2.133958698,"NO","YES"
0.832034729,5.173116437,"NO","NO"
0.262674906,-5.675887358,"NO","YES"
-2.052599481,2.67358151,"NO","NO"
-4.938717094,-0.340092475,"YES","YES"
-7.906199897,1.616395808,"YES","NO"
-6.231730529,1.038153695,"YES","NO"
1.053813917,-8.047352339,"YES","YES"
4.523349228,-2.606526642,"YES","YES"
-0.853535147,-1.450476727,"NO","YES"
-2.308457386,-1.147640924,"NO","YES"
3.079974373,-7.361539042,"YES","YES"
4.971267293,-2.333452418,"YES","YES"
1.12785608,-0.361064677,"NO","NO"
-5.090445469,5.36400259,"NO","NO"
-0.67213051,-7.194320629,"YES","YES"
1.261734916,-7.658764122,"YES","YES"
0.903642312,6.716108278,"NO","NO"
4.096153807,-9.108221549,"YES","YES"
0.697285324,-3.243356535,"NO","YES"
-1.375760211,-6.720705595,"YES","YES"
1.13435469,-9.544559388,"YES","YES"
-6.843775281,3.176009498,"YES","NO"
6.341783064,-2.622455086,"YES","YES"
3.433584326,-4.74263809,"YES","YES"
3.424820173,-9.412661735,"YES","YES"
-0.884133564,9.240015019,"NO","NO"
2.288696064,5.563068722,"NO","NO"
-3.064666014,7.775032485,"NO","NO"
3.321485618,-2.527091307,"YES","YES"
-2.427936054,8.28924415,"NO","NO"
-1.205567449,-8.47885531,"YES","YES"
2.318575745,-1.338949282,"NO","YES"
-1.081107858,1.457491796,"NO","NO"
-3.571482979,5.143601743,"NO","NO"
0.250001943,5.943014273,"NO","NO"
2.256631967,5.653325286,"NO","NO"
6.182022751,5.643491457,"YES","NO"
2.720775893,-10.02495584,"YES","YES"
4.984693544,2.715563562,"YES","NO"
1.382534201,-1.989906994,"NO","YES"
-2.595290143,-1.791720786,"NO","YES"
0.679119825,-5.626953015,"YES","YES"
-2.986276591,-0.052997409,"NO","YES"
-4.388157403,6.83086841,"NO","NO"
-0.341285619,0.693422522,"NO","NO"
2.111282871,2.088303525,"NO","NO"
3.638655786,0.472226509,"NO","NO"
-0.342008786,7.011143827,"NO","NO"
5.945012403,-9.449096062,"YES","YES"
0.414945309,5.189324041,"NO","NO"
3.696143925,-3.101690564,"NO","YES"
-1.600584875,7.601104795,"NO","NO"
0.083544837,-7.391809893,"YES","YES"
-2.613382505,-1.948677595,"NO","YES"
-2.355817248,-0.042595422,"NO","NO"
-3.865181064,-0.5510812,"YES","YES"
-3.844474967,-9.64736445,"YES","YES"
1.054693406,-5.590700503,"YES","YES"
-5.692574919,3.52383256,"NO","NO"
0.971539495,-1.803967709,"NO","YES"
-7.705549275,2.327940257,"YES","NO"
-2.979471942,-0.779178989,"NO","YES"
2.594840955,-8.546341372,"YES","YES"
3.912909161,-6.46131116,"YES","YES"
4.679732422,3.884247486,"YES","NO"
2.683976342,-1.002742871,"NO","YES"
-1.247653663,0.672103202,"NO","NO"
-5.359118726,0.042123756,"YES","YES"
6.042500243,4.760321337,"YES","NO"
-7.505782814,4.206849025,"YES","NO"
-0.444098802,8.14160398,"NO","NO"
1.788776256,2.89250491,"NO","NO"
2.218525624,6.278217682,"NO","NO"
1.675460815,5.661867899,"NO","NO"
0.308260995,0.127887615,"NO","NO"
-0.10265523,-4.35314649,"YES","YES"
-3.990745712,1.987192069,"YES","NO"
-2.822905996,7.569230189,"NO","NO"
-0.461679248,2.724468303,"NO","NO"
-2.467924316,9.539129605,"NO","NO"
-2.384243593,1.981397085,"NO","NO"
1.859460069,8.305179721,"NO","NO"
1.805835083,-7.88052516,"YES","YES"
-5.997800372,5.154210816,"NO","NO"
1.552402735,-8.644168114,"YES","YES"
6.105143077,-5.009842379,"YES","YES"
-2.558339202,-6.223872327,"YES","YES"
5.732735584,-4.09067571,"YES","YES"
4.155806688,2.247574372,"YES","NO"
1.982162816,1.218897435,"YES","NO"
-2.730431568,-7.268338632,"YES","YES"
-6.056900965,0.40383614,"YES","NO"
1.776413771,6.712620189,"NO","NO"
4.416688118,-5.347801898,"YES","YES"
-1.690862891,-2.593783435,"NO","YES"
3.786889025,-0.255320391,"NO","NO"
-0.047367064,-0.166529996,"NO","NO"
-2.913840742,6.673164137,"NO","NO"
-3.846211622,-3.613264028,"YES","YES"
5.488877244,-6.70945022,"YES","YES"
2.107028835,5.407516432,"NO","NO"
-1.220715726,4.088828622,"NO","NO"
-0.270806234,6.781607454,"NO","NO"
-6.573475703,4.155526523,"YES","NO"
-6.439854505,1.244164506,"YES","NO"
1.324887091,-6.254452768,"YES","YES"
6.028984515,-5.69213889,"YES","YES"
0.161033353,-5.407874017,"YES","YES"
-0.16078464,1.177491749,"NO","NO"
-6.650861928,3.524271119,"YES","NO"
0.529349208,-4.709295928,"YES","YES"
2.752286857,-5.420570531,"YES","YES"
3.238600652,0.732908859,"YES","NO"
-5.993938341,2.004413292,"YES","NO"
5.476177435,-3.085803322,"YES","YES"
2.614686804,4.824471323,"NO","NO"
5.461439901,0.783053826,"YES","NO"
2.844386108,-3.357399188,"NO","YES"
1.975728168,8.617060298,"NO","NO"
1.044845353,8.268479893,"NO","NO"
-0.405199791,-10.05138277,"YES","YES"
-2.150023072,-2.195009163,"NO","YES"
-3.13190996,-0.110309342,"NO","YES"
3.028317549,-0.589746343,"NO","NO"
-4.284164947,-2.711949387,"YES","YES"
-2.070818151,-8.701369379,"YES","YES"
0.356933583,-5.349271678,"YES","YES"
-1.328182824,8.672050453,"NO","NO"
0.933484775,5.67220227,"NO","NO"
0.626800577,-1.59897454,"NO","YES"
-6.347189472,4.540724571,"YES","NO"
3.115352984,2.681913101,"YES","NO"
-2.810093124,-7.687268468,"YES","YES"
5.179914157,-4.625929405,"YES","YES"
0.784361207,6.730962438,"NO","NO"
-1.652062159,-2.092129979,"YES","YES"
-3.260786744,1.032253201,"NO","NO"
4.148585201,1.693023502,"NO","NO"
-4.362175458,0.606322757,"YES","NO"
1.099647728,-10.46073876,"YES","YES"
-3.637617138,-3.631976845,"YES","YES"
3.865295658,-5.678526771,"YES","YES"
2.087928618,8.353555238,"NO","NO"
-0.342434883,1.606829831,"NO","NO"
-5.616295571,2.959901243,"YES","NO"
-1.988555954,6.256748223,"NO","NO"
-6.114078367,2.433422549,"YES","NO"
1.323286233,-3.862260945,"NO","YES"
-3.180361718,3.043738713,"NO","NO"
-1.918071443,0.776523787,"NO","NO"
5.075973894,-5.046728119,"YES","YES"
6.694516314,-2.708330594,"YES","YES"
3.648563242,-6.956035817,"YES","YES"
-1.340435762,-1.887379852,"YES","YES"
-4.77425038,-0.874839699,"YES","YES"
-0.750255493,-8.22181012,"YES","YES"
2.431773059,-1.775088254,"NO","YES"
-2.348538794,-4.873145264,"YES","YES"
3.490524023,-3.35892437,"YES","YES"
-4.267911858,-4.097244664,"YES","YES"
0.805485957,-5.197646188,"NO","YES"
-6.165209544,5.771244073,"YES","NO"
0.964956898,-5.524024958,"YES","YES"
-2.075746368,-0.200551624,"NO","YES"
2.532946519,7.026382815,"NO","NO"
-0.861456072,-2.575552983,"NO","YES"
3.434906046,-2.32672407,"NO","YES"
-5.005237066,4.342654348,"NO","NO"
-1.212024011,-1.002560201,"YES","YES"
-4.962915131,3.083871838,"NO","NO"
-1.376081985,7.450484166,"NO","NO"
-1.976667988,7.969777839,"NO","NO"
-0.088672101,-5.32832449,"YES","YES"
-0.745847659,-4.368218432,"YES","YES"
-1.562327914,6.581779659,"NO","NO"
-2.664975995,-3.299921101,"YES","YES"
2.446365074,-4.963610978,"YES","YES"
-1.642141934,-4.247659174,"NO","YES"
-1.547293441,5.080607263,"NO","NO"
1.657427475,-6.122786984,"YES","YES"
4.854963582,3.555492666,"YES","NO"
-0.682965558,1.966477401,"NO","NO"
-2.392033377,8.902142116,"NO","NO"
-0.905117487,-2.070214006,"NO","YES"
-1.189305083,1.541679363,"NO","NO"
-4.95477903,1.339854331,"YES","NO"
-4.08918966,-0.989963573,"YES","YES"
-1.169751368,-8.254872417,"YES","YES"
-0.314274742,5.126172755,"NO","NO"
-5.81395525,1.501236879,"YES","NO"
-2.839601977,-7.633097789,"YES","YES"
-3.942256099,4.166612894,"NO","NO"
-6.485407858,8.019812447,"NO","NO"
0.727773796,5.769196615,"NO","NO"
2.690384683,3.814629476,"NO","NO"
2.451595408,-3.858154147,"NO","YES"
-1.772513852,-6.860222457,"NO","YES"
6.283968037,-3.365556935,"YES","YES"
3.730848763,-4.156618059,"YES","YES"
1.506917845,-3.692200272,"NO","YES"
-3.280799457,1.881103886,"NO","NO"
4.679831181,-6.077040067,"YES","YES"
4.648674467,-2.3902846,"YES","YES"
-1.379036714,-9.014921009,"YES","YES"
-2.24849003,1.130961803,"NO","NO"
-0.700549844,-8.265164608,"YES","YES"
0.121074507,5.576460801,"NO","NO"
-0.654221023,1.997644606,"NO","NO"
-6.012007839,5.722642256,"NO","NO"
-0.312952077,-2.605740909,"NO","YES"
-4.68922046,-6.901279375,"YES","YES"
3.041755663,5.459871883,"NO","NO"
2.200355422,-0.67541435,"NO","NO"
4.980534625,1.380898712,"YES","NO"
4.153360083,-4.394045416,"YES","YES"
-1.424022856,5.630354437,"NO","NO"
0.444555228,-2.574505836,"NO","YES"
-2.723097625,-0.054392437,"NO","NO"
-0.183610409,-1.116589204,"NO","YES"
4.503890794,1.732454827,"YES","NO"
-0.391810726,-7.496809449,"YES","YES"
-0.471739855,-4.42677569,"YES","YES"
-5.937427407,0.701597197,"YES","NO"
-1.565481364,6.493471692,"NO","NO"
-1.523878933,2.697971517,"NO","NO"
-6.675129178,0.409139008,"YES","YES"
4.683686675,2.914294091,"YES","NO"
-4.744748453,-6.019214782,"YES","YES"
4.874217087,-6.478717832,"YES","YES"
-3.898118981,-3.569080233,"YES","YES"
1.170279232,-9.324496109,"YES","YES"
-5.825956031,5.027852241,"YES","NO"
-4.672773688,-1.082817486,"YES","YES"
0.491155121,-1.486002417,"NO","YES"
-3.680839552,-1.489194242,"NO","YES"
3.353592415,-3.398933666,"NO","YES"
-1.461700251,5.288649184,"NO","NO"
5.228407304,4.348403582,"YES","NO"
-2.038813117,-7.715303798,"YES","YES"
3.779823486,-7.678281646,"YES","YES"
-7.54326037,0.032952485,"YES","YES"
0.645544988,-2.517459978,"NO","YES"
1.582339891,-7.245520292,"YES","YES"
-0.608671876,2.024071186,"NO","NO"
2.704591323,-5.548900397,"YES","YES"
-1.436824036,7.62109556,"NO","NO"
-0.661625919,5.398054242,"NO","NO"
4.120488996,-1.41962229,"YES","YES"
-1.26929194,10.12057729,"NO","NO"
-1.806621889,-1.992281476,"YES","YES"
-6.247181845,1.829604749,"YES","NO"
4.212562678,2.459130664,"YES","NO"
2.727301975,-7.653754285,"YES","YES"
-0.598279647,9.841590495,"NO","NO"
4.170256508,-1.486092143,"YES","YES"
-2.618828001,2.714538929,"NO","NO"
-2.841343589,7.305769955,"NO","NO"
0.553812369,5.5441547,"NO","NO"
-1.631978064,0.362199832,"NO","NO"
-4.791728561,6.463169498,"NO","NO"
2.136152299,-1.007877901,"NO","YES"
0.585865481,-2.853016387,"NO","YES"
0.856209891,-1.429610456,"NO","YES"
0.726845055,7.851631862,"NO","NO"
-1.960761347,-5.744411877,"YES","YES"
-1.90129465,-10.59100105,"YES","YES"
-2.263906839,-7.917897231,"YES","YES"
0.816131885,-5.447084893,"YES","YES"
1.498566384,3.153630985,"NO","NO"
-1.60523672,-0.064182316,"NO","NO"
-7.632448564,1.559260163,"YES","NO"
3.032921097,1.614511284,"YES","NO"
-2.778562846,-9.752090527,"YES","YES"
1.210383704,1.860171255,"NO","NO"
0.56203366,-4.789682581,"NO","YES"
