"Country" "GDP" "ElectricityConsumption" "TradeBalance" "ExternalDebt" "PopulationIncrease" "LifeExpectancy" "InfantMortality" "InternetUsers"
"22" "Canada" 67.67901923 63.99730977 62.81097638 0.353105437 42.77108434 97.20405862 0.814717477 78.95923351
"23" "Chile" 26.72053497 9.358512631 57.19995662 14.93852067 45.58232932 89.04171364 3.095926413 7.664850648
"24" "China" 8.609640568 3.423171682 56.99108983 0.747134468 40.562249 79.30101466 12.93561104 3.250046966
"25" "Colombia" 15.85399833 4.04559241 57.12697773 4.947468667 55.82329317 76.93348365 10.77003942 2.799173398
"26" "CostaRica" 17.24714405 5.675995591 57.13228931 6.535797282 56.02409639 89.22209696 4.052562418 7.476986662
"27" "Croatia" 14.73948175 12.76066181 52.37095628 13.41137194 52.61044177 84.44193912 1.965834428 4.339658088
"28" "Cuba" 3.315686821 4.815780624 56.04745454 5.827296565 30.32128514 90.10146561 2.060446781 1.014465527
"29" "CzechRepublic" 34.52215102 20.91686595 55.1679455 12.18413386 21.48594378 86.31341601 1.093298292 16.47567161
"30" "Denmark" 69.62942324 24.96546738 64.28123264 23.80226565 28.91566265 90.80045096 0.825229961 80.72515499
"31" "DominicRep" 14.46085261 3.173544659 54.38896918 3.215701978 55.62248996 83.40473506 16.39947438 0.544805561
"32" "Ecuador" 6.659236556 2.855767303 57.76226477 6.680116066 63.05220884 78.64712514 16.08935611 0.28179598
"33" "Egypt" 8.609640568 3.478675981 56.06720697 2.617524692 56.82730924 61.4205186 29.95532194 0.807815142
"34" "ElSalvador" 9.724157147 2.332481725 55.24236294 3.859265113 60.04016064 75.71589628 13.10381078 1.202329513
"35" "Estonia" 26.44190582 19.40771831 53.34037486 6.600265152 11.84738956 75.03945885 4.809461235 40.78527146
"36" "Ethiopia" 0.25076623 0.054162436 56.77265112 0.891042254 77.10843373 18.55693348 50.717477 0.018786399
"37" "Finland" 62.38506548 64.07696759 69.34626629 34.03187226 26.10441767 92.73957159 0.168199737 82.39714447
"38" "France" 66.56450265 27.18832303 57.30353242 10.45095803 30.32128514 95.71589628 0.520367937 28.38624836
"39" "Gambia " 1.643911953 0.162040021 56.53827768 1.830640909 85.9437751 38.64712514 39.09067017 0.657523953
"40" "Georgia" 11.39593201 5.761264831 56.25565739 2.23594301 11.04417671 63.40473506 25.70302234 0.751455946
"41" "Germany" 63.7782112 24.21166615 61.70356739 10.45095803 28.31325301 92.80721533 0.651773982 40.72891227
"42" "Greece" 46.50320424 16.55036517 47.4124862 31.50171386 27.10843373 95.01691094 1.52956636 23.52057111
"43" "Guatemala" 8.888269713 0.993587932 56.19933251 2.126911284 75.10040161 67.77903044 22.24441524 0.939319932
"44" "Guinea" 2.201170242 0.333432414 56.97415917 2.776110955 62.24899598 21.33032694 65.99737188 0.131504791
"45" "Guyana" 11.9531903 2.429217788 56.12474908 9.263762833 24.29718876 60.56369786 18.5282523 0.807815142
"46" "Haiti" 3.594315965 0.325828529 56.03345631 0.843014278 51.00401606 29.15445321 48.23127464 0.169077588
"47" "Honduras" 6.101978267 2.01242727 56.14804257 4.949288798 71.68674699 74.18263811 14.40735874 0.582378358
"48" "HongKong" 69.35079409 18.12070985 48.39828215 39.16699057 48.99598394 97.45208568 1.240473062 48.20589893
"49" "Hungary" 29.78545556 14.13765635 55.52503856 17.19700982 16.46586345 79.32356257 2.885676741 12.07965433
"50" "India" 4.708832544 1.63495738 56.74393539 0.567763482 54.01606426 59.54904171 31.39027595 0.82660154
"51" "Indonesia" 6.659236556 1.263302225 57.4275246 3.701148561 55.02008032 71.74746336 19.67936925 0.338155176
"52" "Iran" 16.13262747 5.854097295 57.67567496 0.66587442 37.34939759 75.53551297 13.44021025 0.28179598
"53" "Iraq" 5.544719978 4.729332171 58.73610967 34.97875144 79.91967871 68.77113867 29.73981603 0.82660154
"54" "Ireland" 58.7628866 19.45561872 96.88608654 16.81542814 45.3815261 91.40924464 1.082785808 48.91978208
"55" "Israel" 51.23989969 21.80452809 53.48461744 37.57314285 54.6184739 95.28748591 2.23390276 31.63629532
"56" "Italy" 60.15603232 19.16073435 57.76945753 10.45095803 24.29718876 96.25704622 1.245729304 37.77944768
"57" "Jamaica" 8.888269713 9.224895691 54.14065284 10.35231867 33.13253012 87.8692221 5.61892247 4.226939696
"58" "Japan" 67.95764837 30.33751086 60.9852316 10.45095803 26.30522088 100 0.215505913 40.10896111
"59" "Jordan" 8.331011424 5.163892197 54.69172921 9.114629509 83.13253012 92.62683202 8.877792378 3.19368777
"60" "Kazakhstan" 12.51044859 10.68642755 57.46730612 4.386515999 23.4939759 60.51860203 29.27726675 0.789028743
"61" "Kenya" 2.758428532 0.499498022 56.60522571 1.183202656 48.3935743 24.89289741 33.91327201 0.28179598
"62" "KoreaNorth" 1.365282809 4.884134269 56.72816664 3.207188461 47.38955823 77.9481398 10.55453351 60.00375728
"63" "KoreaSouth" 43.43828364 19.71878635 58.23654455 16.79135543 40.76305221 86.13303269 2.228646518 60.00375728
"64" "Kuwait" 40.37336305 58.42085595 99.1087059 19.84001635 90.76305221 89.78579481 4.052562418 9.205335337
"65" "Latvia" 18.64028977 7.318678843 54.28738522 1.969264444 6.626506024 72.71702368 6.239159001 18.42945707
"66" "Lebanon" 12.51044859 8.770939657 48.45067866 15.53716766 50.60240964 79.07553551 13.07752957 11.77907195
"67" "Liberia" 1.643911953 0.467415317 56.64174282 5.460334646 61.44578313 33.73167982 67.77923784 0.018786399
"68" "Libya" 23.37698523 13.599163 63.49036059 4.593482521 71.48594378 88.38782413 13.41392904 0.263009581
"69" "Lithuania" 18.91891892 11.01701359 55.00007746 4.065468355 17.46987952 73.95715896 5.797634691 11.70392636
"70" "Luxembourg" 100 56.40550098 26.86204058 10.45095803 48.19277108 92.10822999 0.683311432 36.46439977
"71" "Madagascar" 0.808024519 0.152565661 56.78532145 1.616393862 83.53413655 42.61555806 42.10775296 0.093931993
"72" "Malaysia" 27.27779326 9.998377567 60.64722702 11.04068052 62.24899598 78.15107103 8.85151117 12.68081909
"73" "Mali" 0.947339092 0.113814308 56.79124165 1.600071396 82.53012048 23.83314543 62.00788436 0.169077588
"74" "Mauritania" 4.151574255 0.168708669 56.89537074 4.48797363 81.72690763 33.12288613 38.49145861 0.244223182
"75" "Mexico" 23.93424352 6.776119245 56.4045476 9.336215795 53.01204819 79.61668546 11.50591327 4.602667669
"76" "Moldova" 5.544719978 5.264450534 56.513103 1.192420739 23.89558233 63.4723788 20.6412615 0.638737554
"77" "Mongolia" 3.538590137 4.198686683 56.72147184 1.680685591 52.40963855 62.70574972 26.29697766 0.882960736
"78" "Morocco" 8.331011424 1.744380139 56.00850295 3.52530041 57.22891566 74.36302142 23.46386334 0.732669547
"79" "Mozambique" 1.365282809 0.025373393 56.55050537 0.424325407 48.99598394 0 71.34296978 0.056359196
"80" "Namibia" 10.56004458 4.36719204 56.22345593 0.708735573 50.60240964 9.402480271 35.84231275 0.939319932
"81" "Netherlands" 66.56450265 24.8344935 59.98947643 0 33.93574297 94.65614431 0.473061761 79.93612624
"82" "NewZealand" 47.89634996 37.10208196 57.26856452 46.7993875 45.78313253 93.66403608 1.477003942 65.15123051
"83" "Nicaragua" 6.101978267 1.833512316 55.74889951 7.640088447 66.06425703 73.50620068 15.86859396 0.770242345
"84" "Niger" 1.365282809 0.118368507 56.87534166 0.73709439 77.51004016 11.58962796 63.12746386 0.056359196
"85" "Nigeria" 1.225968236 0.518731379 57.34143275 1.483641718 75.30120482 32.96505073 36.72536137 0.150291189
"86" "Norway" 75.75926442 100 86.32522801 0 32.73092369 95.46786922 0.247043364 98.44072891
"87" "Oman" 20.0334355 12.40685748 70.76512196 10.07601102 91.76706827 80.24802706 10.0131406 3.588202142
"88" "Pakistan" 4.151574255 1.584210593 56.80075823 1.542766623 65.26104418 56.36978579 40.48883049 1.559271088
"89" "Panama" 15.29674004 5.74670766 54.5057686 15.59846498 48.99598394 88.45546787 8.783180026 2.968250986
"90" "Paraguay" 11.81387573 1.318887848 57.03197792 3.071794191 75.10040161 84.48703495 13.82917214 0.657523953
"91" "Peru" 11.25661744 2.559663054 56.75848691 6.622517723 57.02811245 76.32468997 18.8804205 2.742814203
"92" "Philippines" 9.166898858 1.820906944 57.03933667 3.685471948 63.65461847 70.68771139 13.26149803 1.127183919
"93" "Poland" 22.26246865 12.59174982 54.79104468 8.662591139 22.28915663 83.35963923 3.111695138 13.62013902
"94" "Portugal" 42.60239621 15.27665335 48.64925428 7.640910441 26.5060241 89.04171364 1.298291721 13.05654706
"95" "PuertoRico" 26.44190582 16.05834905 72.99930507 10.45095803 33.73493976 88.63585118 3.174770039 5.241405223
"96" "Qatar" 55.14070772 44.21029176 100 100 86.74698795 81.55580609 9.445466491 10.99004321
"97" "Romania" 15.01811089 8.100699842 56.66581091 2.441617826 18.6746988 76.00901917 8.3521682 5.034754837
"98" "Russia" 20.0334355 20.31591501 59.15528181 6.57889329 15.86345382 69.65050733 8.714848883 11.87300395
"99" "Rwanda" 1.086653664 0.067581058 56.70470717 1.043757126 46.18473896 5.727170237 60.68331143 0.018786399
"100" "SaudiArabia" 27.83505155 19.90168623 69.26283023 6.785448815 88.55421687 71.3416009 25.11432326 3.306406162
"101" "Senegal" 3.037057676 0.427850715 56.65551973 2.340571192 81.72690763 58.87260428 28.00525624 0.544805561
"102" "SierraLeone" 0 0.128168167 56.75743566 1.384884927 95.3815261 20.6313416 75.19053876 0.075145595
"103" "Singapore" 72.41571468 24.03832196 69.70490856 13.24345017 93.17269076 98.5794814 0.078843627 76.00976893
"104" "Slovakia" 26.99916411 16.08416973 56.02156059 11.16826584 25.50200803 84.59977452 2.890932983 24.29081345
"105" "Slovenia" 32.01448872 21.07870266 53.97239749 18.86019866 25.70281124 87.10259301 0.546649146 44.76798798
"106" "Somalia" 0.25076623 0.092222526 56.74443335 2.03848814 92.77108434 22.88613303 63.33771353 0
"107" "SouthAfrica" 22.26246865 16.0438732 57.24521571 3.448502619 28.1124498 26.24577227 29.8869908 7.852714635
"108" "Spain" 48.73223739 19.21359558 52.22339397 13.19806432 24.89959839 95.78354002 0.762155059 21.58557205
"109" "Sudan" 1.365282809 0.145409063 56.91567646 4.05202287 78.91566265 46.20067644 34.27069645 0.056359196
"110" "Sweden" 60.43466147 58.98142903 66.50202615 43.99380216 23.29317269 97.54227734 0 95.24704114
"111" "Switzerland" 78.26692672 28.91546228 56.61109058 10.45095803 28.31325301 97.58737317 0.53088042 61.90118354
"112" "Syria" 7.216494845 4.016274755 57.26895183 7.721465922 73.89558233 72.87485908 15.94218134 0.225436784
"113" "Taiwan" 47.06046252 23.57249248 58.9091233 10.49845759 38.95582329 90.3945885 1.818659658 53.74788653
"114" "Tajikistan" 1.755363611 9.064848132 56.8213406 1.160245518 65.46184739 62.5253664 59.19579501 0.056359196
"115" "Tanzania" 0.557258289 0.200425411 56.74233085 1.101942608 75.30120482 35.01691094 39.91590013 0.131504791
"116" "Thailand" 17.24714405 5.487484289 57.41197717 8.550858573 41.16465863 73.0777903 14.20236531 3.043396581
"117" "Tunisia" 16.68988576 3.59643455 55.52774968 7.864727855 45.98393574 84.48703495 13.44021025 2.122863047
"118" "Turkey" 17.5257732 7.268623319 54.44258293 9.62467722 47.79116466 78.44419391 23.05913272 5.654705993
"119" "Turkmenistan" 10.56004458 4.187707811 57.74046516 3.188752294 60.04016064 55.35512965 36.67805519 0.075145595
"120" "Uganda" 1.643911953 0.140610889 56.70061282 0.881237032 81.72690763 15.60315671 46.16557162 0.187863986
"121" "Ukraine" 9.30621343 12.19248484 56.79362079 1.240272573 7.228915663 66.96730552 9.424441524 0.770242345
"122" "UnitedArabEmirates" 62.10643633 57.6088667 84.41776236 30.7292737 54.81927711 85.32130778 6.943495401 31.22299455
"123" "UnitedKingdom" 62.10643633 22.66266927 52.94311298 10.45095803 27.51004016 93.28072153 1.08804205 61.31880519
"124" "UnitedStates" 99.44274171 50.41266328 47.94447408 18.20166348 40.96385542 92.01803833 1.729303548 100
"125" "Uruguay" 24.49150181 7.088732465 55.5216635 13.97907671 38.55421687 87.91431793 5.902759527 16.77625399
"126" "Uzbekistan" 5.266090833 6.985327754 56.90499797 0.770267747 55.02008032 61.69109357 35.97897503 0.056359196
"127" "Venezuela" 15.85399833 12.80225953 61.02623035 8.346710318 54.21686747 83.11161218 11.51116951 3.137328574
"128" "Vietnam" 4.012259682 1.048238318 56.77669013 0.969542748 52.00803213 74.65614431 14.07095926 0.28179598
"129" "Yugoslavia" 4.987461688 12.5306341 55.90625505 7.753523715 17.46987952 83.54002255 7.332457293 1.408979899
"130" "Zambia" 1.030927835 2.427265988 56.76988467 3.906177525 61.64658635 1.894024803 45.9500657 0.28179598
"131" "Zimbabwe" 5.544719978 2.443530984 57.0823826 2.118104198 25.90361446 1.533258174 31.08541393 0.488446365
